Name,Stop ID,Service Provider Name,Latitude,Longitude,ROUTE ID,Route Name,Line Number,Line Colour,Colour Hex Code,City
SUNWAY LAGOON,SB3,Rapid Bus,3.070650,101.61079,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Kuala Lumpur
SUNMED,SB4,Rapid Bus,3.065540,101.60861,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Kuala Lumpur
SUNU MONASH,SB5,Rapid Bus,3.065300,101.60161,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Kuala Lumpur
SOUTH QUAY-USJ1,SB6,Rapid Bus,3.061620,101.59681,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Kuala Lumpur
USJ7,SB7,Rapid Bus,3.055250,101.59198,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Kuala Lumpur
SUNGAI BULOH,SBK01,Rapid KL,3.206333,101.581736,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
KAMPUNG SELAMAT,SBK02,Rapid KL,3.197270,101.578500,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
KWASA DAMANSARA,SBK04,Rapid KL,3.176150,101.572050,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
KWASA SENTRAL,SBK05,Rapid KL,3.169826,101.564913,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
KOTA DAMANSARA,SBK06,Rapid KL,3.150130,101.578690,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
SURIAN,SBK07,Rapid KL,3.149480,101.593920,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
MUTIARA DAMANSARA,SBK08,Rapid KL,3.155300,101.609080,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
BANDAR UTAMA,SBK09,Rapid KL,3.146504,101.618798,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
TTDI,SBK10,Rapid KL,3.136130,101.630540,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
PHILEO DAMANSARA,SBK12,Rapid KL,3.129037,101.643153,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
PUSAT BANDAR DAMANSARA,SBK13,Rapid KL,3.143323,101.662374,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
SEMANTAN,SBK14,Rapid KL,3.150982,101.665292,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
MUZIUM NEGARA,SBK15,Rapid KL,3.137320,101.687340,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
PASAR SENI,SBK16,Rapid KL,3.142290,101.695560,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
MERDEKA,SBK17,Rapid KL,3.141970,101.702050,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
BUKIT BINTANG,SBK18A,Rapid KL,3.146500,101.710950,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
TUN RAZAK EXCHANGE,SBK20,Rapid KL,3.142400,101.720160,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
COCHRANE,SBK21,Rapid KL,3.132830,101.722960,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
MALURI,SBK22,Rapid KL,3.123620,101.727810,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
TAMAN PERTAMA,SBK23,Rapid KL,3.112550,101.729370,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
TAMAN MIDAH,SBK24,Rapid KL,3.104510,101.732190,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
TAMAN MUTIARA,SBK25,Rapid KL,3.090990,101.740450,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
TAMAN CONNAUGHT,SBK26,Rapid KL,3.079170,101.745220,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
TAMAN SUNTEX,SBK27,Rapid KL,3.071580,101.763550,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000,Kuala Lumpur
